xc_lcc,yc_lcc
-2913250.0,3793000.0
-2912250.0,3793000.0
-2914250.0,3792000.0
-2913250.0,3792000.0
-2912250.0,3792000.0
-2911250.0,3792000.0
-2910250.0,3792000.0
-2915250.0,3791000.0
-2914250.0,3791000.0
-2913250.0,3791000.0
-2912250.0,3791000.0
-2911250.0,3791000.0
-2910250.0,3791000.0
-2909250.0,3791000.0
-2908250.0,3791000.0
-2907250.0,3791000.0
-2906250.0,3791000.0
-2915250.0,3790000.0
-2913250.0,3790000.0
-2912250.0,3790000.0
-2911250.0,3790000.0
-2910250.0,3790000.0
-2909250.0,3790000.0
-2908250.0,3790000.0
-2907250.0,3790000.0
-2906250.0,3790000.0
-2905250.0,3790000.0
-2904250.0,3790000.0
-2913250.0,3789000.0
-2912250.0,3789000.0
-2911250.0,3789000.0
-2910250.0,3789000.0
-2909250.0,3789000.0
-2908250.0,3789000.0
-2907250.0,3789000.0
-2906250.0,3789000.0
-2905250.0,3789000.0
-2904250.0,3789000.0
-2903250.0,3789000.0
-2902250.0,3789000.0
-2900250.0,3789000.0
-2907250.0,3788000.0
-2906250.0,3788000.0
-2905250.0,3788000.0
-2904250.0,3788000.0
-2903250.0,3788000.0
-2902250.0,3788000.0
-2901250.0,3788000.0
-2900250.0,3788000.0
-2899250.0,3788000.0
-2898250.0,3788000.0
-2906250.0,3787000.0
-2901250.0,3787000.0
-2900250.0,3787000.0
-2899250.0,3787000.0
-2898250.0,3787000.0
-2897250.0,3787000.0
-2896250.0,3787000.0
-2921250.0,3786000.0
-2902250.0,3786000.0
-2901250.0,3786000.0
-2900250.0,3786000.0
-2899250.0,3786000.0
-2898250.0,3786000.0
-2897250.0,3786000.0
-2896250.0,3786000.0
-2895250.0,3786000.0
-2894250.0,3786000.0
-2892250.0,3786000.0
-2922250.0,3785000.0
-2921250.0,3785000.0
-2920250.0,3785000.0
-2919250.0,3785000.0
-2918250.0,3785000.0
-2917250.0,3785000.0
-2916250.0,3785000.0
-2914250.0,3785000.0
-2908250.0,3785000.0
-2907250.0,3785000.0
-2903250.0,3785000.0
-2902250.0,3785000.0
-2901250.0,3785000.0
-2900250.0,3785000.0
-2899250.0,3785000.0
-2898250.0,3785000.0
-2895250.0,3785000.0
-2894250.0,3785000.0
-2893250.0,3785000.0
-2892250.0,3785000.0
-2891250.0,3785000.0
-2889250.0,3785000.0
-2888250.0,3785000.0
-2887250.0,3785000.0
-2923250.0,3784000.0
-2922250.0,3784000.0
-2921250.0,3784000.0
-2920250.0,3784000.0
-2919250.0,3784000.0
-2918250.0,3784000.0
-2917250.0,3784000.0
-2916250.0,3784000.0
-2915250.0,3784000.0
-2914250.0,3784000.0
-2913250.0,3784000.0
-2911250.0,3784000.0
-2910250.0,3784000.0
-2909250.0,3784000.0
-2908250.0,3784000.0
-2907250.0,3784000.0
-2906250.0,3784000.0
-2903250.0,3784000.0
-2902250.0,3784000.0
-2901250.0,3784000.0
-2900250.0,3784000.0
-2899250.0,3784000.0
-2894250.0,3784000.0
-2893250.0,3784000.0
-2892250.0,3784000.0
-2891250.0,3784000.0
-2890250.0,3784000.0
-2889250.0,3784000.0
-2888250.0,3784000.0
-2887250.0,3784000.0
-2886250.0,3784000.0
-2885250.0,3784000.0
-2884250.0,3784000.0
-2883250.0,3784000.0
-2882250.0,3784000.0
-2924250.0,3783000.0
-2923250.0,3783000.0
-2922250.0,3783000.0
-2921250.0,3783000.0
-2920250.0,3783000.0
-2919250.0,3783000.0
-2918250.0,3783000.0
-2917250.0,3783000.0
-2916250.0,3783000.0
-2915250.0,3783000.0
-2914250.0,3783000.0
-2913250.0,3783000.0
-2912250.0,3783000.0
-2911250.0,3783000.0
-2910250.0,3783000.0
-2909250.0,3783000.0
-2908250.0,3783000.0
-2907250.0,3783000.0
-2906250.0,3783000.0
-2902250.0,3783000.0
-2901250.0,3783000.0
-2894250.0,3783000.0
-2893250.0,3783000.0
-2892250.0,3783000.0
-2891250.0,3783000.0
-2890250.0,3783000.0
-2889250.0,3783000.0
-2888250.0,3783000.0
-2887250.0,3783000.0
-2886250.0,3783000.0
-2885250.0,3783000.0
-2884250.0,3783000.0
-2883250.0,3783000.0
-2882250.0,3783000.0
-2881250.0,3783000.0
-2880250.0,3783000.0
-2878250.0,3783000.0
-2877250.0,3783000.0
-2876250.0,3783000.0
-2925250.0,3782000.0
-2924250.0,3782000.0
-2923250.0,3782000.0
-2922250.0,3782000.0
-2921250.0,3782000.0
-2920250.0,3782000.0
-2919250.0,3782000.0
-2918250.0,3782000.0
-2917250.0,3782000.0
-2916250.0,3782000.0
-2915250.0,3782000.0
-2914250.0,3782000.0
-2913250.0,3782000.0
-2912250.0,3782000.0
-2911250.0,3782000.0
-2910250.0,3782000.0
-2909250.0,3782000.0
-2908250.0,3782000.0
-2907250.0,3782000.0
-2906250.0,3782000.0
-2905250.0,3782000.0
-2904250.0,3782000.0
-2895250.0,3782000.0
-2894250.0,3782000.0
-2893250.0,3782000.0
-2892250.0,3782000.0
-2891250.0,3782000.0
-2889250.0,3782000.0
-2888250.0,3782000.0
-2887250.0,3782000.0
-2886250.0,3782000.0
-2885250.0,3782000.0
-2884250.0,3782000.0
-2883250.0,3782000.0
-2882250.0,3782000.0
-2881250.0,3782000.0
-2880250.0,3782000.0
-2879250.0,3782000.0
-2878250.0,3782000.0
-2877250.0,3782000.0
-2876250.0,3782000.0
-2875250.0,3782000.0
-2874250.0,3782000.0
-2872250.0,3782000.0
-2871250.0,3782000.0
-2868250.0,3782000.0
-2865250.0,3782000.0
-2926250.0,3781000.0
-2925250.0,3781000.0
-2924250.0,3781000.0
-2923250.0,3781000.0
-2922250.0,3781000.0
-2921250.0,3781000.0
-2920250.0,3781000.0
-2919250.0,3781000.0
-2918250.0,3781000.0
-2917250.0,3781000.0
-2916250.0,3781000.0
-2915250.0,3781000.0
-2914250.0,3781000.0
-2913250.0,3781000.0
-2912250.0,3781000.0
-2911250.0,3781000.0
-2910250.0,3781000.0
-2909250.0,3781000.0
-2908250.0,3781000.0
-2907250.0,3781000.0
-2906250.0,3781000.0
-2905250.0,3781000.0
-2904250.0,3781000.0
-2895250.0,3781000.0
-2894250.0,3781000.0
-2893250.0,3781000.0
-2892250.0,3781000.0
-2891250.0,3781000.0
-2890250.0,3781000.0
-2888250.0,3781000.0
-2887250.0,3781000.0
-2886250.0,3781000.0
-2885250.0,3781000.0
-2884250.0,3781000.0
-2883250.0,3781000.0
-2882250.0,3781000.0
-2881250.0,3781000.0
-2880250.0,3781000.0
-2879250.0,3781000.0
-2878250.0,3781000.0
-2877250.0,3781000.0
-2876250.0,3781000.0
-2875250.0,3781000.0
-2874250.0,3781000.0
-2873250.0,3781000.0
-2872250.0,3781000.0
-2871250.0,3781000.0
-2870250.0,3781000.0
-2869250.0,3781000.0
-2868250.0,3781000.0
-2867250.0,3781000.0
-2866250.0,3781000.0
-2865250.0,3781000.0
-2864250.0,3781000.0
-2863250.0,3781000.0
-2862250.0,3781000.0
-2860250.0,3781000.0
-2927250.0,3780000.0
-2926250.0,3780000.0
-2925250.0,3780000.0
-2924250.0,3780000.0
-2923250.0,3780000.0
-2922250.0,3780000.0
-2921250.0,3780000.0
-2920250.0,3780000.0
-2919250.0,3780000.0
-2918250.0,3780000.0
-2917250.0,3780000.0
-2916250.0,3780000.0
-2915250.0,3780000.0
-2914250.0,3780000.0
-2913250.0,3780000.0
-2912250.0,3780000.0
-2911250.0,3780000.0
-2910250.0,3780000.0
-2909250.0,3780000.0
-2908250.0,3780000.0
-2907250.0,3780000.0
-2906250.0,3780000.0
-2905250.0,3780000.0
-2904250.0,3780000.0
-2903250.0,3780000.0
-2895250.0,3780000.0
-2894250.0,3780000.0
-2893250.0,3780000.0
-2892250.0,3780000.0
-2891250.0,3780000.0
-2890250.0,3780000.0
-2889250.0,3780000.0
-2888250.0,3780000.0
-2887250.0,3780000.0
-2886250.0,3780000.0
-2885250.0,3780000.0
-2884250.0,3780000.0
-2883250.0,3780000.0
-2882250.0,3780000.0
-2881250.0,3780000.0
-2880250.0,3780000.0
-2879250.0,3780000.0
-2878250.0,3780000.0
-2877250.0,3780000.0
-2876250.0,3780000.0
-2874250.0,3780000.0
-2872250.0,3780000.0
-2871250.0,3780000.0
-2867250.0,3780000.0
-2866250.0,3780000.0
-2865250.0,3780000.0
-2864250.0,3780000.0
-2863250.0,3780000.0
-2862250.0,3780000.0
-2861250.0,3780000.0
-2860250.0,3780000.0
-2859250.0,3780000.0
-2858250.0,3780000.0
-2857250.0,3780000.0
-2856250.0,3780000.0
-2855250.0,3780000.0
-2854250.0,3780000.0
-2927250.0,3779000.0
-2926250.0,3779000.0
-2925250.0,3779000.0
-2924250.0,3779000.0
-2923250.0,3779000.0
-2922250.0,3779000.0
-2921250.0,3779000.0
-2920250.0,3779000.0
-2919250.0,3779000.0
-2918250.0,3779000.0
-2917250.0,3779000.0
-2916250.0,3779000.0
-2915250.0,3779000.0
-2914250.0,3779000.0
-2913250.0,3779000.0
-2912250.0,3779000.0
-2911250.0,3779000.0
-2910250.0,3779000.0
-2909250.0,3779000.0
-2908250.0,3779000.0
-2907250.0,3779000.0
-2906250.0,3779000.0
-2905250.0,3779000.0
-2904250.0,3779000.0
-2903250.0,3779000.0
-2894250.0,3779000.0
-2893250.0,3779000.0
-2892250.0,3779000.0
-2891250.0,3779000.0
-2890250.0,3779000.0
-2889250.0,3779000.0
-2888250.0,3779000.0
-2887250.0,3779000.0
-2886250.0,3779000.0
-2885250.0,3779000.0
-2884250.0,3779000.0
-2883250.0,3779000.0
-2882250.0,3779000.0
-2881250.0,3779000.0
-2880250.0,3779000.0
-2879250.0,3779000.0
-2878250.0,3779000.0
-2877250.0,3779000.0
-2876250.0,3779000.0
-2875250.0,3779000.0
-2874250.0,3779000.0
-2873250.0,3779000.0
-2872250.0,3779000.0
-2862250.0,3779000.0
-2861250.0,3779000.0
-2860250.0,3779000.0
-2859250.0,3779000.0
-2858250.0,3779000.0
-2857250.0,3779000.0
-2856250.0,3779000.0
-2855250.0,3779000.0
-2854250.0,3779000.0
-2853250.0,3779000.0
-2852250.0,3779000.0
-2851250.0,3779000.0
-2850250.0,3779000.0
-2849250.0,3779000.0
-2848250.0,3779000.0
-2846250.0,3779000.0
-2843250.0,3779000.0
-2926250.0,3778000.0
-2925250.0,3778000.0
-2924250.0,3778000.0
-2923250.0,3778000.0
-2922250.0,3778000.0
-2921250.0,3778000.0
-2920250.0,3778000.0
-2919250.0,3778000.0
-2918250.0,3778000.0
-2917250.0,3778000.0
-2916250.0,3778000.0
-2915250.0,3778000.0
-2914250.0,3778000.0
-2913250.0,3778000.0
-2912250.0,3778000.0
-2911250.0,3778000.0
-2910250.0,3778000.0
-2909250.0,3778000.0
-2908250.0,3778000.0
-2907250.0,3778000.0
-2906250.0,3778000.0
-2905250.0,3778000.0
-2904250.0,3778000.0
-2903250.0,3778000.0
-2902250.0,3778000.0
-2899250.0,3778000.0
-2894250.0,3778000.0
-2893250.0,3778000.0
-2892250.0,3778000.0
-2891250.0,3778000.0
-2890250.0,3778000.0
-2889250.0,3778000.0
-2888250.0,3778000.0
-2887250.0,3778000.0
-2886250.0,3778000.0
-2885250.0,3778000.0
-2884250.0,3778000.0
-2883250.0,3778000.0
-2882250.0,3778000.0
-2881250.0,3778000.0
-2880250.0,3778000.0
-2879250.0,3778000.0
-2878250.0,3778000.0
-2877250.0,3778000.0
-2876250.0,3778000.0
-2875250.0,3778000.0
-2859250.0,3778000.0
-2858250.0,3778000.0
-2857250.0,3778000.0
-2856250.0,3778000.0
-2854250.0,3778000.0
-2853250.0,3778000.0
-2852250.0,3778000.0
-2851250.0,3778000.0
-2850250.0,3778000.0
-2849250.0,3778000.0
-2848250.0,3778000.0
-2847250.0,3778000.0
-2846250.0,3778000.0
-2845250.0,3778000.0
-2844250.0,3778000.0
-2843250.0,3778000.0
-2841250.0,3778000.0
-2840250.0,3778000.0
-2926250.0,3777000.0
-2925250.0,3777000.0
-2924250.0,3777000.0
-2923250.0,3777000.0
-2922250.0,3777000.0
-2921250.0,3777000.0
-2920250.0,3777000.0
-2919250.0,3777000.0
-2918250.0,3777000.0
-2917250.0,3777000.0
-2916250.0,3777000.0
-2915250.0,3777000.0
-2914250.0,3777000.0
-2913250.0,3777000.0
-2912250.0,3777000.0
-2911250.0,3777000.0
-2910250.0,3777000.0
-2909250.0,3777000.0
-2908250.0,3777000.0
-2907250.0,3777000.0
-2906250.0,3777000.0
-2905250.0,3777000.0
-2904250.0,3777000.0
-2903250.0,3777000.0
