xc,yc
-167.7226,65.680534
-167.70827,65.68675
-167.69394,65.69298
-167.67961,65.6992
-167.66527,65.70542
-167.65092,65.71164
-167.53598,65.761345
-167.52159,65.767555
-167.5072,65.77376
-167.4928,65.77997
-167.4784,65.78617
-167.46397,65.792366
-167.44955,65.79857
-167.43513,65.80477
-167.42072,65.81097
-167.40628,65.81716
-167.39183,65.82336
-167.3774,65.82955
-167.36295,65.83574
-167.3485,65.84193
-167.33403,65.84812
-167.31956,65.85431
-167.3051,65.86049
-167.29062,65.86668
-167.27614,65.87286
-167.26166,65.87904
-167.23268,65.8914
-167.20367,65.903755
-167.18915,65.90993
-167.13106,65.934616
-167.11652,65.94078
-167.10197,65.94695
-167.08743,65.95312
-167.07288,65.95928
-167.05832,65.96544
-167.04375,65.9716
-167.02917,65.97776
-167.0146,65.98392
-167.00003,65.990074
-166.98544,65.99623
-166.97086,66.00238
-166.95625,66.00854
-166.94165,66.01469
-167.97867,65.5561
-167.96443,65.56235
-167.95021,65.5686
-167.93597,65.574844
-167.92172,65.58109
-167.90749,65.58734
-167.89323,65.59358
-167.87898,65.59982
-167.86472,65.606064
-167.85045,65.612305
-167.83618,65.618546
-167.8219,65.62478
-167.80762,65.63102
-167.79333,65.63725
-167.77904,65.643486
-167.76474,65.64971
-167.75044,65.655945
-167.73613,65.66217
-167.72182,65.6684
-167.70749,65.67463
-167.69318,65.68085
-167.67885,65.68707
-167.6645,65.6933
-167.65016,65.69952
-167.63582,65.705734
-167.50648,65.76164
-167.4921,65.767845
-167.47769,65.77405
-167.46329,65.78025
-167.44887,65.78645
-167.43445,65.79265
-167.42003,65.79885
-167.40561,65.805046
-167.39117,65.81124
-167.37674,65.81744
-167.36229,65.82362
-167.34784,65.82982
-167.33339,65.836006
-167.31892,65.84219
-167.30446,65.84838
-167.29,65.85457
-167.27551,65.86075
-167.26105,65.866936
-167.24655,65.873116
-167.23207,65.879295
-167.21758,65.885475
-167.20306,65.89165
-167.18855,65.89783
-167.04321,65.9595
-167.02864,65.96566
-167.01407,65.971825
-166.9995,65.97798
-166.98492,65.98413
-166.97034,65.99029
-166.95575,65.996445
-166.94115,66.002594
-166.92654,66.00874
-166.91194,66.01489
-166.89732,66.02104
-166.8827,66.02718
-166.86809,66.03333
-166.85345,66.039474
-166.83882,66.045616
-166.80954,66.05789
-166.76558,66.0763
-167.94936,65.55646
-167.93512,65.562706
-167.92088,65.568954
-167.90665,65.575195
-167.8924,65.58144
-167.87814,65.587685
-167.86389,65.593925
-167.84962,65.60017
-167.83536,65.60641
-167.82109,65.61264
-167.80681,65.61888
-167.79253,65.625114
-167.77824,65.63135
-167.76395,65.63758
-167.74965,65.643814
-167.73534,65.65004
-167.72104,65.656265
-167.70673,65.66249
-167.6924,65.66872
-167.67809,65.67494
-167.66374,65.68117
-167.64941,65.687386
-167.63507,65.6936
-167.62073,65.69982
-167.60638,65.70604
-167.5633,65.724686
-167.4914,65.75572
-167.477,65.761925
-167.4626,65.76813
-167.44818,65.77433
-167.43378,65.78053
-167.41936,65.78673
-167.40494,65.79293
-167.3905,65.799126
-167.37607,65.80532
-167.36163,65.81151
-167.3472,65.8177
-167.33275,65.82389
-167.31828,65.83008
-167.30383,65.836266
-167.28937,65.84245
-167.2749,65.84864
-167.26042,65.85482
-167.24594,65.86101
-167.23146,65.86719
-167.21696,65.87337
-166.98439,65.97204
-166.96982,65.978195
-166.95523,65.984344
-166.94064,65.99049
-166.91144,66.0028
-166.89684,66.00895
-166.88222,66.01509
-166.8676,66.02124
-166.85298,66.02738
-166.83835,66.03352
-166.82372,66.039665
-166.80908,66.04581
-166.79443,66.05194
-166.77979,66.058075
-166.76514,66.06422
-166.75047,66.07035
-166.72115,66.08261
-166.70647,66.08874
-167.93427,65.55056
-167.92004,65.55681
-167.9058,65.56306
-167.89156,65.5693
-167.87732,65.57555
-167.86305,65.58179
-167.8488,65.58803
-167.83453,65.59427
-167.82027,65.6005
-167.806,65.60674
-167.79172,65.612976
-167.77744,65.61921
-167.76315,65.62544
-167.74886,65.631676
-167.73456,65.63791
-167.72026,65.644135
-167.70595,65.65036
-167.69164,65.656586
-167.67732,65.66281
-167.663,65.66904
-167.64867,65.675255
-167.63432,65.68147
-167.61998,65.68769
-167.60564,65.69391
-167.5913,65.70013
-167.57693,65.706345
-167.56258,65.712555
-167.54822,65.718765
-167.53384,65.724976
-167.49069,65.7436
-167.4763,65.74981
-167.4619,65.75601
-167.44751,65.762215
-167.43309,65.76841
-167.41869,65.77461
-167.40427,65.78081
-167.38985,65.787
-167.37541,65.7932
-167.36098,65.79939
-167.34654,65.80559
-167.33209,65.811775
-167.31764,65.81797
-167.30319,65.82416
-167.28874,65.830345
-167.27428,65.836525
-167.2598,65.84271
-167.24533,65.84889
-167.23085,65.85507
-167.21635,65.86125
-167.20187,65.86743
-166.98387,65.95994
-166.9693,65.966095
-166.95471,65.972244
-166.94012,65.9784
-166.92554,65.98455
-166.91095,65.9907
-166.89635,65.99685
-166.88173,66.003
-166.86713,66.00915
